Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Internal latent response
Query 56,'کیا آپ Android اور iOS کے مابین اختلافات کی وضاحت کرسکتے ہیں؟','Can you explain the differences between Android and iOS?',"' آپ کے خیال میں کیا Android اور iOS کے مابین کوئی فرق ہے؟ آپ کے خیال میں کیا Android اور iOS کے
مابین کوئی فرق ہے؟'","' What are the differences between Android and iOS?\nWhat are the differences between Android and
iOS?\nWhat are the differences between Android and iOS?\nWhat are the differences between Android
and iOS?\nWhat are the differences between Android and iOS?\nWhat are the differences between
Android and iOS?\nWhat are the differences between Android and iOS?\nWhat'"
Query 57,'جسم میں خامروں کا کیا کردار ہے؟',"""What's the role of enzymes in the body?""",' جو کچھ ہے وہ یہ ہے کہ وہ ہر جسم میں موجود ہوتے ہیں اور ان کا کام ہے کہ و�',"' What is the role of white blood cells in the body?\nThe white blood cells are the most important
part of the immune system. They are the first line of defense against infection and disease. They
are also responsible for fighting off cancer cells and other harmful substances in the body.\nThe
white blood cells are the most important part'"
Query 58,'جین میں ترمیم کیسے کام کرتی ہے؟','How does gene editing work?',' جین میں ترمیم کیسے کام کرتی ہے؟ جین میں ترمیم کیسے کام کرتی ہے؟ جین میں ترمیم کیسے کام کرتی ہے؟ ج',"' What is gene editing?\nGene editing is a new technology that allows scientists to change the DNA
of living cells. This can be done in a number of ways, but the most common method is called CRISPR-
Cas9. CRISPR-Cas9 is a type of gene editing tool that uses a protein called'"
Query 59,'آب و ہوا کی تبدیلی کی بڑی وجوہات کیا ہیں؟','What are the major causes of climate change?',"' - ہندوستان میں پانی کی کمی کے بارے میں کیا کیا جائے؟\nآب و ہوا کی تبدیلی کی بڑی وجوہات کیا ہیں؟ -
�'","' What are the main causes of climate change?\nThe main causes of climate change are the burning of
fossil fuels, deforestation, and the release of greenhouse gases into the atmosphere. These factors
have led to an increase in the Earth’s temperature, which has caused changes in weather patterns and
sea levels.\nThe burning of fossil fuels'"
Query 60,'ارتقائی حیاتیات کے پیچھے نظریہ کیا ہے؟',"""What's the theory behind evolutionary biology?""","'\n\nارتقائی حیاتیات کے پیچھے نظریہ کیا ہے؟\n\nارتقائی حیاتیات کے پیچھے نظریہ کیا ہے؟\n\nارتقائی
حیاتیات کے پیچھے'","' What is the theory behind evolutionary biology?\nThe theory of evolution is the idea that all
living things are related and have descended from a common ancestor. This theory is based on the
evidence of fossils, DNA, and other biological evidence. The theory of evolution is supported by
many scientists and is accepted by most people.\nThe theory'"
Query 61,'کیا آپ وضاحت کرسکتے ہیں کہ زندگی کے لئے فوٹو سنتھیس کس طرح ضروری ہے؟','Can you explain how photosynthesis is essential for life?',' ہم نے اس کے بارے میں کچھ تحقیق کی ہے اور اس کے بارے میں کچھ کچھ کچھ کچھ کچھ کچھ کچھ کچھ ک',"' I’m not sure if you’re aware of this, but there are a lot of people who are not aware of the fact
that there are a lot of people who are not aware of the fact that there are a lot of people who are
not aware of the fact that there are a lot of people who are not aware'"
Query 62,'جاز میوزک کی تاریخ کیا ہے؟',"""What's the history of jazz music?""","' جاز میوزک کی تاریخ کیا ہے؟\nجاز میوزک کی تاریخ کیا ہے؟ جاز میوزک کی تاریخ کیا ہے؟\nجاز میوزک کی
تاریخ کیا ہے؟ جاز میوز'","' What is the history of Jazz Music?\nJazz music is a type of music that originated in the African-
American communities of New Orleans, Louisiana, United States. It developed from a confluence of
African and European music traditions, most notably the blues and ragtime, and was influenced by
African rhythms and brass bands. Jazz'"
Query 63,'پودے اپنے ماحول کے مطابق کیسے ڈھالتے ہیں؟','How do plants adapt to their environment?',"' (How do plants adapt to their environment?)\nپودے اپنے ماحول کے مطابق کیسے ڈھالتے ہیں؟ (How do
plants adapt to their environment?)\nپودے اپنے ماحول ک'","' (How do plants adapt to their environment?)\nپودے اپنے ماحول کے مطابق کیسے ڈھالتے ہیں? (How do
plants adapt to their environment?)\nپودے اپنے ماحول ک'"
Query 64,'قائل کرنے کے پیچھے نفسیات کیا ہے؟',"""What's the psychology behind persuasion?""","' نفسیات کے بارے میں معلومات حاصل کرنے کے لیے یہاں کلک کریں\nقائل کرنے کے پیچھے نفسیات کیا ہے؟
نفسیات ک'","' What is psychology behind saying yes?\nWhat is psychology behind saying yes?\nWhat is psychology
behind saying yes? What is psychology behind saying yes? What is psychology behind saying yes? What
is psychology behind saying yes? What is psychology behind saying yes? What is psychology behind
saying yes? What is psychology behind saying yes? What'"
Query 65,'کیا آپ سپلائی اور طلب کے تصور کی وضاحت کرسکتے ہیں؟','Can you explain the concept of supply and demand?',"' کیا آپ اسے ایک ایسے تصور کے طور پر دیکھ سکتے ہیں جس میں طلب اور سپلائی کے درمیان ایک تعلق ہو؟ کیا
آپ اسے'","' What is the difference between supply and demand?\nWhat is the difference between supply and
demand?\nSupply and demand are two important economic concepts that determine the price of a good or
service in the market. Supply refers to the amount of a good or service that is available for sale
at a given price, while demand refers to the'"
Query 66,'دماغ کی زبان کس طرح پروسیس کرتی ہے؟','How does the brain process language?',"' (How does the brain process language?)\nدماغ کی زبان کس طرح پروسیس کرتی ہے؟ (How does the brain
process language?)\nدماغ کی زبان کس طرح پروسیس کرتی ہے؟ (How does the brain process language?)\nدماغ
کی زبان'","' What is the process of brain language?\nThe brain is a complex organ that is responsible for a
wide range of functions, including language. The process of brain language is a complex and
intricate system that involves a number of different areas of the brain. The language areas of the
brain are located in the left hemisphere of the brain'"
Query 67,'الزائمر کی بیماری کی اہم علامات کیا ہیں؟',"""What are the main symptoms of Alzheimer's disease?""","' (Zamir Ki Bimari Ki Ahem Alamat Kya Hain?)\nZamir Ki Bimari Ki Ahem Alamat Kya Hain?\nZamir Ki
Bimari Ki Ahem Alamat Kya Hain? Zamir Ki Bimari Ki Ahem Alamat K'","' What are the main symptoms of Zymaster disease?\nThe main symptoms of Zymaster disease are:\n1.
The patient has a history of recurrent infections.\n2. The patient has a history of recurrent skin
infections.\n3. The patient has a history of recurrent respiratory infections.\n4. The patient has a
history of'"
Query 68,'صنعتی انقلاب کی کیا اہمیت ہے؟',"""What's the significance of the Industrial Revolution?""","' (صنعتی انقلاب کی کیا اہمیت ہے؟)\nصنعتی انقلاب کی کیا اہمیت ہے؟ (صنعتی انقلاب کی کیا اہمیت
ہے؟)\nصنعتی انقلاب کی ک'","' What is the importance of Industrial Revolution?\nThe Industrial Revolution was a period of great
change in the way people worked and lived. It began in Britain in the late 1700s and spread to other
countries in Europe and North America. The Industrial Revolution was a time of great change in the
way people worked and lived.'"
Query 69,'چھوٹے کاروبار کو شروع کرنے کے بنیادی اقدامات کیا ہیں؟','What are the basic steps to starting a small business?',"' (Small Business Startup Steps)\nچھوٹے کاروبار کو شروع کرنے کے بنیادی اقدامات کیا ہیں؟ (Small
Business Startup Steps)\nچھوٹے کاروبار کو شروع کرنے کے بنی'","' How to Start a Small Business?\nHow to Start a Small Business? Small business is a business that
is owned and operated by a single person or a small group of people. It is a type of business that
is not large enough to be considered a corporation or a partnership. Small businesses are often
started by individuals who have'"
Query 70,'انتہائی آب و ہوا میں جانور کیسے زندہ رہتے ہیں؟','How do animals survive in extreme climates?',"' (How do animals survive in extreme weather?)\nHow do animals survive in extreme weather?\nAnimals
have a variety of ways to survive in extreme weather. Some animals, like polar bears, have thick fur
to keep them warm in cold weather. Others, like desert animals, have special adaptations to survive
in hot weather. Some'","' (How do animals survive in hot weather?)\nThe answer is that animals have special adaptations to
survive in hot weather. These adaptations include:\n1. They have a thick coat of fur or feathers to
protect them from the heat.\n2. They have a layer of fat under their skin to help them keep
cool.\n3.'"
Query 71,'ہالووین کی روایات کے پیچھے کیا تاریخ ہے؟',"""What's the history behind Halloween traditions?""","' ہالووین کی روایات کے پیچھے کیا تاریخ ہے؟\nہالووین کی روایات کے پیچھے کیا تاریخ ہے؟\nہالووین کی
روایات کے پیچ'","' ہالووین کی روایات کے پیچھے کیا تاریخ ہے?\nThe history of Halloween is a bit of a mystery. It is a
holiday that has been celebrated for centuries, but the exact origins of the holiday are unknown.
Some believe that it originated from'"
Query 72,'ڈیسیلیشن کیسے کام کرتا ہے؟','How does desalination work?',"' (How does Desiccation work?)\nڈیسیلیشن کیسے کام کرتا ہے؟ (How does Desiccation work?)\nڈیسیلیشن
کیسے کام کرتا ہے؟ (How does Desiccation work?)\n'","' What is Desensitization?\nDesensitization is a type of exposure therapy that is used to treat
phobias and other anxiety disorders. It involves gradually exposing the person to the feared object
or situation in a safe and controlled manner, while providing them with support and guidance. The
goal of desensitization'"
Query 73,'کیا آپ متواتر جدول کی اہمیت کی وضاحت کرسکتے ہیں؟','Can you explain the importance of the periodic table?',' اور کیا آپ اسے اپنے ہاں رکھتے ہیں؟ اگر ہاں تو آپ کو یہ جاننے کے لئے کچھ اور معلومات کی ضرورت',"' What is the importance of the table of contents?\nThe table of contents is a list of the main
headings of a book or article. It is usually placed at the beginning of the book or article, and it
tells the reader what the book or article is about. The table of contents is an important part of
any book'"
Query 74,'ذاتی فنانس کے لئے کچھ حکمت عملی کیا ہیں؟','What are some strategies for personal finance?',' ہم سب کو یہ جاننا چاہیے کہ کس طرح ہم اپنے ذاتی فنانس کو بہتر بناسکتے ہیں۔\nکچھ لوگ اپن�',"' What are some strategies for personal finance?\nThe most important thing to remember when it comes
to personal finance is that it is a long-term goal. You need to be patient and disciplined in order
to achieve your financial goals. There are many different strategies that you can use to achieve
your financial goals, but the most important thing'"
Query 75,'مصنوعی ذہانت کس طرح دھوکہ دہی کا پتہ لگاتی ہے؟','How does artificial intelligence detect fraud?',' - ہم نے اس کے بارے میں کیا کیا؟\nمصنوعی ذہانت کس طرح دھوکہ دہی کا پتہ لگاتی ہے؟ - ہم ن',"' (Part 2)\nIn the previous post, we discussed the importance of the intellect in the spiritual
life. We also discussed the importance of the intellect in the spiritual life. We also discussed the
importance of the intellect in the spiritual life. We also discussed the importance of the intellect
in the spiritual life. We also discussed'"
Query 76,'لوسیڈ خواب دیکھنے کی سائنس کیا ہے؟',"""What's the science of lucid dreaming?""","' لوسیڈ خواب دیکھنے کی سائنس کیا ہے؟\nلوسیڈ خواب دیکھنے کی سائنس کیا ہے؟ لوسیڈ خواب دیکھنے کی سائنس
کیا '","' What does lucid dreaming science mean?\nLucid dreaming is a state of consciousness in which a
person is aware that they are dreaming. It is a rare and fascinating phenomenon that has been
studied by scientists for decades. Lucid dreaming is a state of consciousness in which a person is
aware that they are dreaming. It is'"
Query 77,'ہیرے کیسے بنتے ہیں؟','How are diamonds formed?',' ہیرے کیسے بنتے ہیں؟ ہیرے کیسے بنتے ہیں؟ ہیرے کیسے بنتے ہیں؟ ',"' How are Hairs Grown?\nHairs are made of protein called keratin. Hairs are made of protein called
keratin. Hairs are made of protein called keratin. Hairs are made of protein called keratin. Hairs
are made of protein called keratin. Hairs are made of protein called'"
Query 78,'کمپیوٹر کے اہم اجزاء کیا ہیں؟','What are the main components of a computer?',"' (Computer Parts)\nComputer Parts\nComputer parts are the components of a computer system. The
computer parts are the hardware components of a computer system. The computer parts are the physical
components of a computer system. The computer parts are the physical components of a computer
system. The computer parts are the physical components of a computer system'","' What are the important parts of a computer?\nThe computer is a machine that can perform a variety
of tasks. It is a combination of hardware and software. The hardware is the physical part of the
computer, while the software is the set of instructions that tell the computer what to do. The
computer has several important parts that'"
Query 79,'میوزک تھراپی سے ذہنی صحت کو کیسے فائدہ ہوتا ہے؟','How does music therapy benefit mental health?','\nمیوزک تھراپی سے ذہنی صحت کو کیسے فائدہ ہوتا ہے؟\nمیوزک تھراپی سے ذہنی صحت کو کیسے فائدہ',"' (Music Therapy and Mental Health)\nMusic therapy is a form of therapy that uses music to help
people with mental health issues. It can be used to treat a wide range of conditions, including
depression, anxiety, and post-traumatic stress disorder (PTSD). Music therapy can also be used to
help people with learning disabilities'"
Query 80,'بیکٹیریا اور وائرس میں کیا فرق ہے؟',"""What's the difference between bacteria and viruses?""","' - Difference between Bacteria and Virus\nبیکٹیریا اور وائرس میں کیا فرق ہے؟ - Difference between
Bacteria and Virus\nبیکٹیریا اور وائرس میں کیا فرق ہے؟ - Difference'","' What is the difference between bacteria and viruses?\nBacteria and viruses are both
microorganisms, but they are very different from each other. Bacteria are single-celled organisms
that can be found in almost every environment on Earth. They are responsible for many important
processes in nature, such as decomposition and nitrogen fixation. Viruses'"
Query 81,'مصنوعی انتخاب قدرتی انتخاب سے کس طرح مختلف ہے؟','How does artificial selection differ from natural selection?',"' انتخاب قدرتی انتخاب سے کس طرح مختلف ہے؟ انتخاب قدرتی انتخاب سے کس طرح مختلف ہے؟ انتخاب قدرتی
انتخاب سے کس طرح مختلف ہے؟ انتخاب قدرتی انتخاب سے کس طرح مختلف �'","' What is the difference between natural and artificial selection?\nWhat is the difference between
natural and artificial selection?\nWhat is the difference between natural and artificial selection?
What is the difference between natural and artificial selection? What is the difference between
natural and artificial selection? What is the difference between natural and artificial selection?
What is the difference'"
Query 82,'جینیاتی کلوننگ کی اخلاقیات کیا ہیں؟','What are the ethics of genetic cloning?',"' - جینیاتی کلوننگ کی اخلاقیات کیا ہیں؟\nجینیاتی کلوننگ کی اخلاقیات کیا ہیں؟\nجینیاتی کلوننگ کی
اخلاقیات کیا ہیں؟\nجینیاتی'","' (What are the ethical issues of genetic cloning?)\nGenetic cloning is a process in which a cell is
taken from an organism and is used to create a new organism. The new organism is genetically
identical to the original organism. Genetic cloning is a controversial topic because it raises many
ethical issues. In this article, we will'"
Query 83,'پٹھوں کی میموری کیسے کام کرتی ہے؟','How does muscle memory work?',"' پٹھوں کی میموری کیسے کام کرتی ہے؟\nپٹھوں کی میموری کیسے کام کرتی ہے؟ پٹھوں کی میموری کیسے کام کرتی
'","' What is the function of memory in the brain?\nWhat is the function of memory in the brain?\nMemory
is the ability to store and retrieve information. It is the process of storing and retrieving
information from the brain. Memory is the ability to store and retrieve information from the brain.
It is the process of storing and retrieving'"
Query 84,'بین الاقوامی تجارت کا کیا کردار ہے؟',"""What's the role of international trade?""","' بین الاقوامی تجارت کا کیا کردار ہے؟\nبین الاقوامی تجارت کا کیا کردار ہے؟ بین الاقوامی تجارت کا کیا
کردار ہے؟\nبین الاقوامی تجارت'","' What is the role of international trade in the world economy?\nThe role of international trade in
the world economy is to increase the production of goods and services. It also helps to increase the
income of the people. It also helps to increase the standard of living of the people. It also helps
to increase the employment opportunities.'"
Query 85,'کینسر کے علاج کی عام اقسام کیا ہیں؟','What are common types of cancer treatments?',"' کینسر کے علاج کی عام اقسام کیا ہیں؟\nکینسر کے علاج کی عام اقسام کیا ہیں؟\nکینسر کے علاج کی عام
اقسام کیا ہی�'","' What are the common types of cancer treatment?\nCancer is a disease in which cells in the body
grow out of control. When cancer starts in different parts of the body, it is called different types
of cancer. Cancer can start almost anywhere in the body, but most often it starts in the skin,
colon, lung'"
Query 86,'کیا آپ خلیوں میں مائٹوکونڈریا کے کردار کی وضاحت کرسکتے ہیں؟','Can you explain the role of mitochondria in cells?',"'\n\nMitocondria کے کردار کی وضاحت کرسکتے ہیں؟\n\nMitocondria کے کردار کی وضاحت کرسکتے
ہیں؟\n\nMitocondria کے کردار کی و'","' What is the role of mitochondria in cells?\nThe mitochondria are the powerhouses of the cell. They
are responsible for the production of energy in the form of ATP. ATP is the energy currency of the
cell. The mitochondria are also involved in the regulation of cell death and survival. They play a
crucial role'"
Query 87,'شہری کاری ماحول کو کس طرح متاثر کرتی ہے؟','How does urbanization affect the environment?',' - ہر شہری کے لیے ایک اہم مسئلہ ہے کہ وہ اپنے ماحول کو کس طرح متاثر کرتا ہے۔\nشہ',"' (Urbanization and Environmental Impact)\nUrbanization is a process of increasing population
density in urban areas. It is a process of increasing population density in urban areas. It is a
process of increasing population density in urban areas. It is a process of increasing population
density in urban areas. It is a process of increasing population density'"
Query 88,'ہوا بازی کی تاریخ کیا ہے؟',"""What's the history of aviation?""","' کیا ہوا بازی ایک جدید کھیل ہے یا اس کا آغاز کب ہوا؟ ہوا بازی کے کئی قسم کیں اور ان میں سے کس کا
آغاز کب ہ'","' ہوا بازی की कहानी क्या है?\nThe history of air sports is very old. The first air sports were
played in the 19th century. The first air sports were played in the 19th century. The first air
sports were played in the 19th century. The'"
Query 89,'میگنےٹ کیسے کام کرتے ہیں؟','How do magnets work?',"' میگنٹ کے بارے میں معلومات\nمیگنٹ کے بارے میں معلومات\nمیگنٹ کے بارے میں معلومات\nمیگنٹ کے بارے میں
معلومات\nمیگنٹ'","' What is Magnets?\nMagnets are a type of magnetism that is used to attract or repel other magnets.
Magnets are made up of tiny particles called atoms. These atoms are arranged in a specific way to
create a magnetic field. The magnetic field is what causes the attraction or repulsion between
magnets.\nThere'"
Query 90,'افراط زر کی بنیادی وجوہات کیا ہیں؟','What are the main causes of inflation?',"' (Urdu)\nThe main causes of excessive use of money are:\n1. The desire to have more than what is
needed.\n2. The desire to have more than what is needed.\n3. The desire to have more than what is
needed.\n4. The desire to have more than what is needed.\n5.'","' What are the basic causes of excessive use of gold?\nThe excessive use of gold is a major problem
in the world today. The excessive use of gold is a major problem in the world today. The excessive
use of gold is a major problem in the world today. The excessive use of gold is a major problem in
the'"
Query 91,'کیا آپ وضاحت کرسکتے ہیں کہ الرجی کس طرح ترقی کرتی ہے؟','Can you explain how allergies develop?',"' کیا آپ اس کے لیے کوئی تجربہ یا طریقہ بتاسکتے ہیں؟ کیا آپ اس کے لیے کوئی تجربہ یا طریقہ بتاسکتے
ہی�'","' I have a question about the relationship between the two. I have a question about the relationship
between the two. I have a question about the relationship between the two. I have a question about
the relationship between the two. I have a question about the relationship between the two. I have a
question about the relationship between the'"
Query 92,'تناؤ سے جسمانی صحت پر کیا اثر پڑتا ہے؟','How does stress impact physical health?',"' (Stress and Physical Health)\nStress is a normal part of life. It is a feeling of being under too
much pressure or strain. It is a feeling of being under too much pressure or strain. It is a feeling
of being under too much pressure or strain. It is a feeling of being under too much'","' (What is the effect of stress on physical health?)\nStress is a normal part of life. It is a
reaction to a situation that requires a response. Stress is a normal part of life. It is a reaction
to a situation that requires a response. It is a normal part of life. It is a reaction'"
Query 93,'عالمی تعلقات میں سفارت کاری کا کیا کردار ہے؟',"""What's the role of diplomacy in global relations?""","' (پہلا حصہ)\nعالمی تعلقات میں سفارت کاری کا کیا کردار ہے؟ (پہلا حصہ)\nعالمی تعلقات میں سفارت کاری
کا کیا کردار ہے؟'","' What is the role of diplomacy in international relations?\nThe role of diplomacy in international
relations is to maintain peace and harmony among nations. Diplomacy is the art of negotiation and
communication between countries. It is a way to resolve conflicts and differences without resorting
to violence. Diplomacy is also a way to promote trade'"
Query 94,'مشین ترجمہ کیسے کام کرتا ہے؟','How does machine translation work?',' ترجمہ کیسے کیا جاتا ہے؟ ترجمہ کیسے کیا جاتا ہے؟ ترجمہ کیسے کیا جاتا ہے؟ ترجمہ کیسے کیا ج',"' How does a machine translation work?\nThe machine translation is a computer program that
translates text from one language to another. It is a type of computer program that translates text
from one language to another. It is a type of computer program that translates text from one
language to another. It is a type of computer program that translates'"
Query 95,'کیا آپ تنازعات کے حل کے لئے کچھ طریقے تجویز کرسکتے ہیں؟','Can you suggest some methods for conflict resolution?',' کیا آپ کو یہ معلوم ہے کہ تنازعات کے حل کے لئے کچھ طریقے ہیں؟ کیا آپ کو یہ معلوم ہے کہ تنازعات',"' What are some ways to solve conflicts?\nWhat are some ways to solve conflicts?\nWhat are some ways
to solve conflicts?\nWhat are some ways to solve conflicts?\nWhat are some ways to solve
conflicts?\nWhat are some ways to solve conflicts?\nWhat are some ways to solve conflicts?\nWhat are
some ways to solve conflicts?\n'"
Query 96,'سائنسی دریافت کا عمل کیا ہے؟',"""What's the process of scientific discovery?""",' اس کے بارے میں کیا کہا جاتا ہے؟ اس کے بارے میں کیا کہا جاتا ہے؟ اس کے بارے میں کیا ک�',"' What is scientific discovery?\nScientific discovery is the process of making new knowledge about
the world. It is the process of finding out new things about the world around us. Scientific
discovery is the process of finding out new things about the world around us. It is the process of
finding out new things about the world around us'"
Query 97,'ویکسین کیسے بنائی جاتی ہیں؟','How are vaccines created?',"' اور ان کے فوائد کیا ہیں؟\nویکسین کیسے بنائی جاتی ہیں؟ اور ان کے فوائد کیا ہیں؟\nویکسین کیسے بنائی
جاتی '","' What is Vicks VapoRub?\nVicks VapoRub is a topical ointment that is used to treat coughs and
colds. It is made up of a combination of eucalyptus oil, camphor, and other ingredients that are
believed to have medicinal properties. The ointment'"
Query 98,'سرد جنگ کے پیچھے کیا تاریخ ہے؟',"""What's the history behind the Cold War?""",' (پہلا حصہ)\nسرد جنگ کے پیچھے کیا تاریخ ہے؟ (پہلا حصہ)\nسرد جنگ کے پیچھے کیا تاریخ ہے؟ (پہلا حصہ',"' (Part 1)\nThe history behind the cold war\nThe cold war was a period of political tension between
the United States and the Soviet Union and their respective allies, the Western Bloc and the Eastern
Bloc, from 1947 to 1991. The term “cold war” is a metaphor for the state of'"
Query 99,'انٹروورٹس کے بارے میں کچھ عام غلط فہمیاں کیا ہیں؟','What are some common misconceptions about introverts?',' انٹروورٹس کے بارے میں کچھ عام غلط فہمیاں کیا ہیں؟\nانٹروورٹس کے بارے میں کچھ عام غلط فہمیا�',"' What are some common misconceptions about introverts?\nIntroverts are shy, quiet, and reserved.
They are not outgoing or social. They prefer to be alone and do not like being around people. They
are not interested in making friends or having a social life. They are not interested in dating or
having a relationship.'"
Query 100,'واٹر فلٹریشن کیسے کام کرتا ہے؟','How does water filtration work?',"' - Water Filter System How Does It Work?\nWater Filter System How Does It Work?\nWater Filter
System How Does It Work? Water Filter System How Does It Work? Water Filter System How Does It Work?
Water Filter System How Does It Work? Water Filter System How Does It Work? Water Filter System How
Does It Work'","' Water filter works in what way?\nWater filter works in what way?\nWater filter works in what way?
Water filter works in what way? Water filter works in what way? Water filter works in what way?
Water filter works in what way? Water filter works in what way? Water filter works in what way?
Water'"
Query 101,'کیا آپ عادات کی نفسیات کی وضاحت کرسکتے ہیں؟','Can you explain the psychology of habits?',"' نفسیات کے ماہرین کے مطابق، نفسیات عادات کی وضاحت کرتا ہے۔ نفسیات کے ماہرین کے مطابق، نفسیات عادات
کی وضاحت کرت'","' What are the psychological aspects of habits?\nHabits are a set of actions that are repeated over
and over again. They are a type of behavior that is performed without much thought or effort. Habits
are formed when a person does something repeatedly and the brain starts to associate that action
with a reward or punishment. This'"
Query 102,'قومی پارکوں کی کیا اہمیت ہے؟',"""What's the significance of national parks?""","' - National Parks: What is their importance?\nNational Parks: What is their importance?\nNational
Parks are the most important part of the world. They are the most important part of the world. They
are the most important part of the world. They are the most important part of the world. They are
the most important part'","' What is the importance of National Parks?\nThe National Parks are the most important part of the
country. The National Parks are the most important part of the country. The National Parks are the
most important part of the country. The National Parks are the most important part of the country.
The National Parks are the most important part'"
Query 103,'غذائیت سے علمی نشوونما پر کیا اثر پڑتا ہے؟','How does nutrition impact cognitive development?',"' - ہیڈلائن\nغذائیت سے علمی نشوونما پر کیا اثر پڑتا ہے؟ - ہیڈلائن\nغذائیت سے علمی نشوونما پر کیا
اثر'","' (Part 1)\nThe effect of nutrition on scientific development\nThe effect of nutrition on scientific
development\nThe effect of nutrition on scientific development\nThe effect of nutrition on
scientific development\nThe effect of nutrition on scientific development\nThe effect of nutrition
on scientific development\nThe effect of nutrition on scientific development\nThe effect of'"
Query 104,'پائلٹ بننے کے لئے کیا اقدامات ہیں؟','What are the steps to become a pilot?',' کیا آپ کو پائلٹ بننے کے لئے کیا اقدامات کرنا چاہئے؟ پائلٹ بننے کے لئے کیا اقدامات ہیں؟ کیا آپ',"' What are the steps to become a pilot?\nپائلٹ بننے کے لئے کیا اقدامات ہیں? What are the steps to
become a pilot?\nپائلٹ بننے کے لئے کیا اقدام'"
Query 105,'سونار ٹکنالوجی کیسے کام کرتی ہے؟','How does sonar technology work?',"' اور اس کے فوائد کیا ہیں؟\nسونار ٹکنالوجی کیسے کام کرتی ہے؟ اور اس کے فوائد کیا ہیں؟\nسونار
ٹکنالوجی ک'","' What is Sonar Technology?\nSonar is a technology that uses sound waves to detect objects
underwater. It is used by ships, submarines, and other underwater vehicles to navigate and avoid
obstacles. Sonar works by sending out sound waves from a transducer, which is a device that converts
electrical energy into sound waves. The'"
Query 106,'صحت کے لئے نیند کی کیا اہمیت ہے؟',"""What's the importance of sleep for health?""","' اور کیا ہے نیند کے لئے صحت کے لئے ضروری ہے؟\nSleep is an important part of our daily life. It is a
natural process that helps us to rest and recover from the day’s activities.'","' What is the importance of sleep for health?\nSleep is a natural state of rest and relaxation that
is essential for our physical and mental well-being. It is a time when our body and mind rejuvenate
and repair themselves. Sleep is a vital part of our daily routine and is necessary for our overall
health and well-being.'"
Query 107,'مختلف ثقافتیں نیا سال کیسے مناتی ہیں؟','How do different cultures celebrate New Year?',"' (انگریزی میں)\nDifferent Cultures Celebrate New Year in Different Ways\nNew Year is a time to
celebrate and welcome the new year with new hopes and dreams. It is a time to reflect on the past
year and make plans for the future. Different cultures celebrate New Year in different ways. Some'","' What are the ways in which different cultures celebrate New Year?\nThe New Year is celebrated in
different ways in different cultures. In some cultures, the New Year is celebrated on the first day
of the year, while in other cultures, it is celebrated on the first day of the month. In some
cultures, the New Year'"
Query 108,'تناؤ سے نجات کے لئے مراقبہ کے کیا فوائد ہیں؟','What are the benefits of meditation for stress relief?','\nمراقبہ کے فوائد\nمراقبہ کے فوائد\nمراقبہ کے فوائد\nمراقبہ کے فوائد\nمراقبہ کے فوائد\nمراقبہ کے',"' (Part 2)\nIn the previous article, we discussed the benefits of mindfulness in the context of
stress management. In this article, we will discuss the benefits of mindfulness in the context of
stress management.\nIn the previous article, we discussed the benefits of mindfulness in the context
of stress management. In this article, we'"
Query 109,'مکھیاں زراعت میں کس طرح حصہ ڈالتی ہیں؟','How do bees contribute to agriculture?',"' - Urdu\nمکھیاں زراعت میں کس طرح حصہ ڈالتی ہیں؟ - Urdu\nMakhiaan Zaraat Mein Kais Tarha Hissa
Daalati Hai? - Urdu\nMakhiaan Zaraat'","' (With Pictures)\nThe term “microbes” refers to a group of tiny organisms that are too small to be
seen with the naked eye. They are present in almost all environments, including soil, water, and
air. Microbes play a crucial role in the environment and human health. They are responsible for the
decomposition'"
Query 110,'ٹیک اسٹارٹ اپ شروع کرنے کا عمل کیا ہے؟',"""What's the process of starting a tech startup?""","' اس کے بارے میں سب سے اہم معلومات\nٹیک اسٹارٹ اپ شروع کرنے کا عمل کیا ہے؟ اس کے بارے میں سب سے اہم
معلومات\nٹ'","' How to Start a Tech Startup?\nThe tech startup industry is growing at a rapid pace, with new
companies emerging every day. If you’re thinking about starting a tech startup, you’re in luck! In
this article, we’ll walk you through the process of starting a tech startup, from idea to
launch.\nThe first'"
Query 111,'ایڈرینالائن جسم کو کیسے متاثر کرتی ہے؟','How does adrenaline affect the body?',"' - Adrenaline and how it affects the body\nایڈرینالائن جسم کو کیسے متاثر کرتی ہے؟ - Adrenaline and
how it affects the body\nایڈرینالائن جسم کو کیسے مت'","' (How does adrenaline affect the body?)\nAdrenaline is a hormone that is released by the adrenal
glands in response to stress. It is responsible for increasing heart rate, blood pressure, and blood
sugar levels. Adrenaline also causes the release of other hormones, such as cortisol and
epinephrine, which further'"
Query 112,'کوانٹم الجھنے کی بنیادی باتیں کیا ہیں؟','What are the basics of quantum entanglement?',"' - Quantum Entanglement Explained\nQuantum entanglement is a phenomenon that occurs when two or
more particles are in a quantum state together. This means that the particles are not only
connected, but also share a unique property that cannot be explained by classical physics. In this
article, we will explore the basics of'","' What are the basic facts about quantum entanglement?\nQuantum entanglement is a very important
concept in quantum mechanics. It is a very strange phenomenon that is not possible in classical
mechanics. In this article, we will discuss the basic facts about quantum entanglement.\nWhat is
quantum entanglement?\nQuantum'"
